Name / ID	Portrait	Emotion	Action	Line1	Line2	Line3	Shake	Size	Speed	Index	Anim	Navigate	Size
													
intro_01													
				Deep within the	woods of the	"old world,"							
				There once	lay a cabin.								
				Forgotten by	the man who 	"built it,"							
				Nearly forgotten	by the woman	"who lived within,"							
				The last of her	"kind, a Marelon,"	named Vista.							
													
test_convo													
		EM_SKIP	ACT_WALK							CHAR_VISTA	&vista_reminisce	"{2, 6}"	
				"In her cabin,"	most days were	just the same.							
				She read her books	and cared for her	sawdust doll.							
			ACT_SFX_KNOCK	"But today,"	there was a knock	at the door.				CHAR_VISTA			
	db_ch_vista	EM_DEFAULT	ACT_WALK	Yes?	Who is it?					CHAR_VISTA	&vista_pickup	"{1, 3}"	
	db_ch_vista	EM_SULLEN		"Hmm,"	What could this be?								
	db_ch_vista	EM_HAPPY		"""Dear Vista,"	I don't know if you	"remember me.."""							
	db_ch_vista	EM_DEFAULT		"""I was your"	"daughter, years"	"and years ago."""							
	db_ch_vista	EM_DEFAULT		I don't..	remember..	"a daughter.."""							
			ACT_PROGRESS							CUTSCENE_TO_GARBAGE			
													
intro_02													
				"""I know it's hard,"	"I know it's so hard,"								
				But I need you	"to remember.."""								
													
intro_03													
				      Cinemint      	      presents      								
													
garbage_01													
		EM_SKIP	ACT_MUSIC_VISKER										
		EM_SKIP								CHAR_JEREMY	&jeremy_lay_down		
	db_ch_visker	EM_SULLEN		It body warm.		Ewww.				CHAR_VISKER	&visker_poke		
	db_ch_jeremy	EM_PAIN		"Ow, my head.."									
	db_ch_visker	EM_ANGRY		"NO, NO LIKE,"	First human down the	"chute in ages,"				CHAR_VISKER			
	db_ch_visker	EM_ANGRY		And it ALIVE?	"Hey, do something"	"for me, human."							
	db_ch_jeremy	EM_CONFUSED		..W-What?						CHAR_JEREMY			
	db_ch_visker	EM_DEFAULT		Go and DIE. NOW.	I'm so so HUNGRY	for HUMAN.							
	db_ch_jeremy	EM_ANNOYED		"Well, excuse ME."									
